seq,ts,kind,question,player,payload
1,2026-03-15T20:00:01Z,open,q1,,{}
2,2026-03-15T20:00:02Z,open,q2,,{}
3,2026-03-15T20:00:03Z,open,q3,,{}
4,2026-03-15T20:00:05Z,buzzer,q1,alice,{}
5,2026-03-15T20:00:06Z,buzzer,q1,bob,{}
6,2026-03-15T20:00:08Z,answer,q1,alice,"{""correct"":true}"
7,2026-03-15T20:00:10Z,buzzer,q2,bob,{}
8,2026-03-15T20:00:11Z,buzzer,q2,carol,{}
9,2026-03-15T20:00:12Z,answer,q2,bob,"{""correct"":false}"
10,2026-03-15T20:00:14Z,buzzer,q3,carol,{}
11,2026-03-15T20:00:15Z,answer,q3,carol,"{""correct"":true}"
12,2026-03-15T20:00:17Z,lock,q2,,{}
13,2026-03-15T20:00:18Z,buzzer,q2,dave,{}
14,2026-03-15T20:00:19Z,answer,q2,dave,"{""correct"":true}"
15,2026-03-15T20:00:21Z,penalty,bob,bob,"{""points"":3}"
16,2026-03-15T20:00:22Z,mod_override,q3,carol,"{""action"":""deduct"",""points"":2}"
17,2026-03-15T20:00:23Z,open,q4,,{}
18,2026-03-15T20:00:24Z,buzzer,q4,alice,{}
19,2026-03-15T20:00:25Z,mod_override,q4,alice,"{""action"":""void_buzzer""}"
20,2026-03-15T20:00:26Z,buzzer,q4,dave,{}
21,2026-03-15T20:00:27Z,answer,q4,dave,"{""correct"":true}"
22,2026-03-15T20:00:28Z,mod_override,q4,dave,"{""action"":""award"",""points"":5}"
23,2026-03-15T20:00:29Z,open,q5,,{}
24,2026-03-15T20:00:30Z,buzzer,q5,bob,{}
25,2026-03-15T20:00:31Z,mod_override,q5,bob,"{""action"":""reassign"",""player"":""alice""}"
26,2026-03-15T20:00:32Z,answer,q5,alice,"{""correct"":true}"
27,2026-03-15T20:00:33Z,penalty,q5,bob,"{""points"":2}"
28,2026-03-15T20:00:34Z,open,q6,,{}
29,2026-03-15T20:00:35Z,buzzer,q6,bob,{}
30,2026-03-15T20:00:36Z,mod_override,q6,bob,"{""action"":""void_buzzer""}"
31,2026-03-15T20:00:37Z,buzzer,q6,alice,{}
32,2026-03-15T20:00:38Z,answer,q6,alice,"{""correct"":true}"
